id,result_url,upload_date,uploaded_listing,model_id_original,model_name,model_name_en,arch,framework,backend,ai_device,cpu_name,cpu_topology,base_frequency,memory,os,single_precision_score,half_precision_score,quantized_score
545599,https://browser.geekbench.com/ai/v1/545599,August 08 2026 02:10 PM,"Sat, 08 Aug 2026 14:10:15 +0000","MacBook Air (13-inch, 2025)","MacBook Air (13-inch, 2025)","MacBook Air (13-inch, 2025)",Apple Silicon,Core ML,GPU,Apple M4,Apple M4,"1 Processor, 10 Cores",4.42 GHz,32.00 GB,macOS 26.6.1 (Build 25G76),10904,12845,11387
545601,https://browser.geekbench.com/ai/v1/545601,August 08 2026 02:11 PM,"Sat, 08 Aug 2026 14:11:58 +0000","MacBook Air (13-inch, 2025)","MacBook Air (13-inch, 2025)","MacBook Air (13-inch, 2025)",Apple Silicon,Core ML,Neural Engine,Apple M4,Apple M4,"1 Processor, 10 Cores",4.42 GHz,32.00 GB,macOS 26.6.1 (Build 25G76),5101,38363,54478
545609,https://browser.geekbench.com/ai/v1/545609,August 08 2026 02:33 PM,"Sat, 08 Aug 2026 14:33:42 +0000","MacPro7,1",Mac Pro（2019 年）,,Intel,Core ML,CPU,Intel Core i9-14900K,Intel Core i9-14900K,"1 Processor, 8 Cores, 32 Threads",3.18 GHz,32.00 GB,macOS 26.6.1 (Build 25G76),2051,1412,854
545379,https://browser.geekbench.com/ai/v1/545379,August 08 2026 02:51 AM,"Sat, 08 Aug 2026 02:51:39 +0000",MacBook Pro (15-inch Late 2016),MacBook Pro (15-inch Late 2016),MacBook Pro (15-inch Late 2016),Intel,Core ML,CPU,Intel Core i7-6820HQ,Intel Core i7-6820HQ,"1 Processor, 4 Cores, 8 Threads",2.70 GHz,16.00 GB,macOS 15.7.4 (Build 24G517),603,80,67
545681,https://browser.geekbench.com/ai/v1/545681,August 08 2026 08:34 PM,"Sat, 08 Aug 2026 20:34:30 +0000","Mac17,4",MacBook Air（15 英寸，M5，2026 年）,,Apple Silicon,Core ML,CPU,Apple M5,Apple M5,"1 Processor, 10 Cores",4.46 GHz,16.00 GB,macOS 26.6.1 (Build 25G76),5545,9017,6909
545682,https://browser.geekbench.com/ai/v1/545682,August 08 2026 08:37 PM,"Sat, 08 Aug 2026 20:37:54 +0000","Mac17,4",MacBook Air（15 英寸，M5，2026 年）,,Apple Silicon,Core ML,GPU,Apple M5,Apple M5,"1 Processor, 10 Cores",4.46 GHz,16.00 GB,macOS 26.6.1 (Build 25G76),14379,25635,27108
545684,https://browser.geekbench.com/ai/v1/545684,August 08 2026 08:40 PM,"Sat, 08 Aug 2026 20:40:52 +0000","Mac17,4",MacBook Air（15 英寸，M5，2026 年）,,Apple Silicon,Core ML,Neural Engine,Apple M5,Apple M5,"1 Processor, 10 Cores",4.46 GHz,16.00 GB,macOS 26.6.1 (Build 25G76),5531,41729,59085
545692,https://browser.geekbench.com/ai/v1/545692,August 08 2026 09:06 PM,"Sat, 08 Aug 2026 21:06:19 +0000","MacBook Pro (14-inch, 2024)","MacBook Pro (14-inch, 2024)","MacBook Pro (14-inch, 2024)",Apple Silicon,Core ML,Neural Engine,Apple M4 Max,Apple M4 Max,"1 Processor, 14 Cores",2.61 GHz,36.00 GB,macOS 26.5.2 (Build 25F84),4102,31908,44402
545709,https://browser.geekbench.com/ai/v1/545709,August 08 2026 10:15 PM,"Sat, 08 Aug 2026 22:15:48 +0000","Mac17,2",MacBook Pro（14 英寸，M5）,,Apple Silicon,Core ML,CPU,Apple M5,Apple M5,"1 Processor, 10 Cores",4.61 GHz,16.00 GB,macOS 26.6 (Build 25G72),5636,9051,7071
545710,https://browser.geekbench.com/ai/v1/545710,August 08 2026 10:18 PM,"Sat, 08 Aug 2026 22:18:20 +0000","Mac17,2",MacBook Pro（14 英寸，M5）,,Apple Silicon,Core ML,GPU,Apple M5,Apple M5,"1 Processor, 10 Cores",4.61 GHz,16.00 GB,macOS 26.6 (Build 25G72),14663,27763,28338
