id,model_name,arch,framework,backend,workload,accuracy,score
543066,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,GPU,Face Detection (SP),"100%
",49845
543066,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,GPU,Face Detection (HP),"100%
",72805
543066,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,GPU,Face Detection (Q),"100%
",65178
543066,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,GPU,Depth Estimation (SP),"100%
",53431
543066,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,GPU,Depth Estimation (HP),"99%
",86050
543066,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,GPU,Depth Estimation (Q),"86%
",86942
543066,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,GPU,Style Transfer (SP),"100%
",264652
543066,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,GPU,Style Transfer (HP),"100%
",554734
543066,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,GPU,Style Transfer (Q),"96%
",610497
543066,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,GPU,Image Super-Resolution (SP),"100%
",34847
543066,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,GPU,Image Super-Resolution (HP),"100%
",52249
543066,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,GPU,Image Super-Resolution (Q),"99%
",42718
543066,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,GPU,Text Classification (SP),"100%
",6005
543066,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,GPU,Text Classification (HP),"99%
",9952
543066,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,GPU,Text Classification (Q),"92%
",10168
543066,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,GPU,Machine Translation (SP),"100%
",8380
543066,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,GPU,Machine Translation (HP),"100%
",8880
543066,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,GPU,Machine Translation (Q),"98%
",8575
543067,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,Neural Engine,Image Classification (SP),"100%
",2396
543067,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,Neural Engine,Image Classification (HP),"100%
",20098
543067,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,Neural Engine,Image Classification (Q),"97%
",27721
543067,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,Neural Engine,Image Segmentation (SP),"100%
",2493
543067,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,Neural Engine,Image Segmentation (HP),"100%
",26599
543067,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,Neural Engine,Image Segmentation (Q),"99%
",38073
543067,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,Neural Engine,Pose Estimation (SP),"100%
",10198
543067,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,Neural Engine,Pose Estimation (HP),"100%
",183602
543067,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,Neural Engine,Pose Estimation (Q),"95%
",339726
543067,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,Neural Engine,Object Detection (SP),"100%
",2945
543067,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,Neural Engine,Object Detection (HP),"100%
",22592
543067,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,Neural Engine,Object Detection (Q),"89%
",29244
543067,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,Neural Engine,Face Detection (SP),"100%
",5756
543067,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,Neural Engine,Face Detection (HP),"100%
",51005
543067,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,Neural Engine,Face Detection (Q),"100%
",78277
543067,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,Neural Engine,Depth Estimation (SP),"100%
",9233
543067,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,Neural Engine,Depth Estimation (HP),"99%
",139154
543067,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,Neural Engine,Depth Estimation (Q),"85%
",221828
543067,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,Neural Engine,Style Transfer (SP),"100%
",24676
543067,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,Neural Engine,Style Transfer (HP),"100%
",290226
543067,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,Neural Engine,Style Transfer (Q),"96%
",367838
543067,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,Neural Engine,Image Super-Resolution (SP),"100%
",5822
543067,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,Neural Engine,Image Super-Resolution (HP),"100%
",66758
543067,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,Neural Engine,Image Super-Resolution (Q),"99%
",100742
543067,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,Neural Engine,Text Classification (SP),"100%
",5801
543067,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,Neural Engine,Text Classification (HP),"100%
",10095
543067,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,Neural Engine,Text Classification (Q),"92%
",9599
543067,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,Neural Engine,Machine Translation (SP),"100%
",2893
543067,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,Neural Engine,Machine Translation (HP),"100%
",19695
543067,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,Neural Engine,Machine Translation (Q),"98%
",19416
542798,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Image Classification (SP),"100%
",1344
542798,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Image Classification (HP),"100%
",6778
542798,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Image Classification (Q),"97%
",6562
542798,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Image Segmentation (SP),"100%
",1550
